"url","price","institution","title","skills you will gain","css-1qajodb","ratings","reviews","level type duration"
"https://www.coursera.org/learn/private-equity","Free","Università Bocconi","Private Equity and Venture Capital","Investment, Investment Management, Finance, Accounting, Stock","Skills you'll gain:","4.8","(6.8k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/organizational-analysis","Free","Stanford University","Organizational Analysis","Network Analysis, Communication, Entrepreneurship, Analysis, Mathematics, Business Psychology, Social Media, Culture, Leadership and Management, Marketing, Organizational Development, Decision Making, Strategy and Operations, Strategy, Probability & Statistics, Human Resources, Business Process Management, Sales, General Statistics","Skills you'll gain:","4.6","(1.2k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/managing-emotions-uncertainty-stress","Free","Yale University","Managing Emotions in Times of Uncertainty & Stress","Entrepreneurship, Communication, Leadership and Management, Emotional Intelligence, Decision Making","Skills you'll gain:","4.8","(1.9k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/womens-health-human-rights","Free","Stanford University","International Women's Health and Human Rights","Supply Chain and Logistics, Entrepreneurship, Leadership and Management, Planning, Education, Epidemiology, Law","Skills you'll gain:","4.9","(1.3k reviews)","Beginner · Course · 3-6 Months",""
"https://www.coursera.org/learn/social-psychology","Free","Wesleyan University","Social Psychology","Communication, Behavior, Psychology, General Statistics, Psychologies","Skills you'll gain:","4.7","(4.3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/learn-korean","Free","Yonsei University","First Step Korean","Korean Language, Listening, Language, Grammar","Skills you'll gain:","4.9","(43.4k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/childnutrition","Free","Stanford University","Child Nutrition and Cooking","Culture, Child, Nutrition, Leadership and Management, Choice","Skills you'll gain:","4.8","(9.1k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/cybersecurity-for-everyone","Free","University of Maryland, College Park","Cybersecurity for Everyone","Computer Architecture, Network Architecture, Computer Networking, Security Engineering, Threat, Cyberattacks","Skills you'll gain:","4.7","(337 reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/introduction-psych","Free","University of Toronto","Introduction to Psychology","Business Psychology, Psychology, Human Learning, Behavior, Psychologies","Skills you'll gain:","4.9","(4.6k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/positive-psychiatry","Free","The University of Sydney","Positive Psychiatry and Mental Health","Business Psychology, Entrepreneurship, Resilience, Mental Health, Psychologies, Mindfulness, Psychology","Skills you'll gain:","4.8","(3k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/contabilidad","Free","Universidad Nacional Autónoma de México","Contabilidad para no contadores","Finance, Accounting","Skills you'll gain:","4.8","(7.6k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/engineering-mechanics-statics","Free","Georgia Institute of Technology","Introduction to Engineering Mechanics","C Dynamic Memory Allocation, Research and Design, Mathematics, Entrepreneurship, Leadership and Management, Problem Solving, Mechanical Engineering","Skills you'll gain:","4.8","(4.4k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/philosophy","Free","The University of Edinburgh","Introduction to Philosophy","Philosophy, Research and Design, Critical Thinking, Thought","Skills you'll gain:","4.7","(8.4k reviews)","Mixed · Course · 3-6 Months",""
"https://www.coursera.org/learn/dino101","Free","University of Alberta","Dino 101: Dinosaur Paleobiology","Biology, Evolution","Skills you'll gain:","4.9","(3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/medical-neuroscience","Free","Duke University","Medical Neuroscience","Anatomy, Neuroscience","Skills you'll gain:","4.9","(2.5k reviews)","Advanced · Course · 3-6 Months",""
"https://www.coursera.org/learn/mathematical-thinking","Free","Stanford University","Introduction to Mathematical Thinking","Mathematics, Numbers (Spreadsheet), Analysis, Logic, Business Analysis, Strategy and Operations, Research and Design, Critical Thinking, Mathematical Theory & Analysis, Thought","Skills you'll gain:","4.8","(2.4k reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/duke-behavioral-finance","Free","Duke University","Behavioral Finance","Business Psychology, Behavioral Economics, Bias, Finance, Economics","Skills you'll gain:","4.4","(3.3k reviews)","Mixed · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/american-law","Free","University of Pennsylvania","An Introduction to American Law","Law","Skills you'll gain:","4.8","(4.2k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/circular-economy","Free","Lund University","Circular Economy - Sustainable Materials Management","Supply Chain Systems, Leadership and Management, Supply Chain and Logistics, Materials, Product Lifecycle, Sustainability, Economy, Resource, Design and Product","Skills you'll gain:","4.8","(1.4k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/animal-welfare","Free","The University of Edinburgh","Animal Behaviour and Welfare","Animal, Behavior","Skills you'll gain:","4.8","(4.4k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/corporatestrategy","Free","University of London","Corporate Strategy","Entrepreneurship, Mergers & Acquisitions, Leadership and Management, Marketing, Strategy, Business Strategy, Finance, Sales, Strategic Management, Strategy and Operations, Corporate Bond","Skills you'll gain:","4.8","(1.1k reviews)","Beginner · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/global-diplomacy","Free","University of London","Global Diplomacy – Diplomacy in the Modern World","Communication, Negotiation, Analysis, Marketing, Sales, International Relations","Skills you'll gain:","4.7","(4k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/people-management","Free","University of London","The Manager's Toolkit: A Practical Guide to Managing People at Work","Business Psychology, Strategy and Operations, Conflict Resolution, Entrepreneurship, People Development, Leadership and Management, Decision Making, Human Resources, Conflict Management, Interview, Leadership, Performance, Performance Management","Skills you'll gain:","4.6","(2.8k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/clinical-terminology","Free","University of Pittsburgh","Clinical Terminology for International and U.S. Students","Language, Experience","Skills you'll gain:","4.8","(2.7k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/neuromarketing","Free","Copenhagen Business School","An Introduction to Consumer Neuroscience & Neuromarketing","Entrepreneurship, Marketing, Market Research, Research and Design, Neuroscience","Skills you'll gain:","4.7","(2.7k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/wind-energy","Free","Technical University of Denmark (DTU)","Wind Energy","Mathematics, Energy","Skills you'll gain:","4.7","(6.4k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/introduction-to-calculus","Free","The University of Sydney","Introduction to Calculus","Mathematics, Derivative, Calculus, Integral, Lambda Calculus, Algebra","Skills you'll gain:","4.8","(3k reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/information-systems-audit","Free","The Hong Kong University of Science and Technology","Information Systems Auditing, Controls and Assurance","Change Management, Security, Strategy and Operations, Leadership and Management, Risk Management, Finance, Accounting, Risk, Information Security","Skills you'll gain:","4.7","(2.2k reviews)","Beginner · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/learn-to-program","Free","University of Toronto","Learn to Program: The Fundamentals","Research and Design, Computer Programming, Statistical Programming, Strategy and Operations, Python Programming, Syntax, Critical Thinking, Problem Solving, Programming Principles, Semantics, Business Analysis, Entrepreneurship, Leadership and Management, Language","Skills you'll gain:","4.7","(5.6k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/learning-how-to-learn","Free","Deep Teaching Solutions","Learning How to Learn: Powerful mental tools to help you master tough subjects","Business Psychology, Test Preparation, Human Learning, Learning How To Learn, Problem Solving","Skills you'll gain:","4.8","(82.5k reviews)","Beginner · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/clinical-research","Free","University of Cape Town","Understanding Clinical Research: Behind the Statistics","Experiment, Research and Design, Analysis, Statistical Hypothesis Testing, Data Analysis, Probability Distribution, Basic Descriptive Statistics, General Statistics, Statistical Tests, Probability & Statistics, Statistical Analysis, Business Analysis","Skills you'll gain:","4.8","(2.9k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/microeconomics","Free","University of Illinois at Urbana-Champaign","Microeconomics Principles","Demand, Analysis, Entrepreneurship, Research and Design, Accounting, Market Research, Microeconomics, Market (Economics), Economics, Supply Chain, General Accounting","Skills you'll gain:","4.8","(2.5k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/sustainable-finance","Free","Erasmus University Rotterdam","Principles of Sustainable Finance","Strategy and Operations, Corporate Bond, Entrepreneurship, Strategy, Risk, Risk Management, Banking, Sustainability, Sales, Finance, Marketing, Leadership and Management","Skills you'll gain:","4.7","(1.1k reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/clinicalsimulations","Free","The George Washington University","Essentials in Clinical Simulations Across the Health Professions","Strategy and Operations, Operations Management, Human Resources, Change Management, Communication, Business Psychology, Entrepreneurship, Marketing, Budget Management, Supply Chain and Logistics, Planning, Training, Professional Development, Evaluation, Simulation, Leadership and Management, Finance, Sales, Strategy, Operations Research","Skills you'll gain:","4.8","(802 reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/vital-signs","Free","University of Pennsylvania","Vital Signs: Understanding What the Body Is Telling Us","Digital Signature, Anatomy","Skills you'll gain:","4.8","(5.3k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/advanced-valuation-and-strategy","Free","Erasmus University Rotterdam","Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital","Data Analysis, Entrepreneurship, Mathematics, Strategy and Operations, Business Analysis, Strategy, Decision Making, Financial Analysis, Leadership and Management, Marketing, Finance, Investment Management, Sales, Accounting, Mergers & Acquisitions, Game Theory","Skills you'll gain:","4.6","(1k reviews)","Advanced · Course · 1-3 Months",""
"https://www.coursera.org/learn/sdgbusiness","Free","Erasmus University Rotterdam","Driving business towards the Sustainable Development Goals","Research and Design, Business Psychology, People Development, Entrepreneurship, Communication, Systems Thinking, Leadership and Management, Human Resources, Sustainability, Innovation, Organizational Development, Collaboration, Thought","Skills you'll gain:","4.8","(862 reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/leading-diverse-teams-and-organizations","Free","University of Michigan","Leading Diverse Teams & Organizations","Business Psychology, Entrepreneurship, Human Resources, Leadership and Management, Organizational Development, Leadership, Leadership Development","Skills you'll gain:","4.8","(146 reviews)","Mixed · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/datasciencemathskills","Free","Duke University","Data Science Math Skills","Mathematics, Theoretical Computer Science, Plot (Graphics), Probability & Statistics, Algebra, Data Visualization, Mathematical Theory & Analysis, Graph Theory, General Statistics, Bayesian Statistics, Bayesian, Computational Logic, Probability Distribution, Probability","Skills you'll gain:","4.5","(10.5k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/research-methods","Free","University of London","Understanding Research Methods","Research Methods, Leadership and Management","Skills you'll gain:","4.6","(6.1k reviews)","Mixed · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/oilandgas","Free","Duke University","Oil & Gas Industry Operations and Markets","Geology, Product Management, Product Marketing, Entrepreneurship, Marketing, Design and Product, Supply Chain and Logistics, Market Research, Energy, Strategy, Strategy and Operations, Transportation Operations Management, Market (Economics), Sales, Operations Management","Skills you'll gain:","4.8","(5.1k reviews)","Mixed · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/remote-team-management","Free","GitLab","How to Manage a Remote Team","Business Psychology, Strategy and Operations, Entrepreneurship, Communication, Business Transformation, Leadership and Management, Culture, Marketing, Recruitment, Strategy, People Management, Business Analysis, Human Resources, Sales, Team Management, Leadership","Skills you'll gain:","4.8","(673 reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/sports-marketing","Free","Northwestern University","Sports Marketing","Entrepreneurship, Strategy and Operations, Communication, Market Analysis, Strategy, Marketing Strategy, Crisis, Marketing, Sales, Sports","Skills you'll gain:","4.7","(982 reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/global-diplomacy-un","Free","University of London","Global Diplomacy: the United Nations in the World","Global, Humanitarian, International Law, Law, International Relations","Skills you'll gain:","4.7","(1.3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/company-future-management","Free","University of London","Managing the Company of the Future","Strategy and Operations, Leadership and Management, Entrepreneurship, Strategic Management, Process, Organizational Development, Leadership","Skills you'll gain:","4.8","(3.2k reviews)","Mixed · Course · 1-3 Months","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d8/329c306c2611e4bc69f1dbb9888199/MCOF_MOOC_course_logo.jpg?auto=format%2Ccompress&dpr=1&w=330&h=330&q=25&fit=fill"
"https://www.coursera.org/learn/everyday-parenting","Free","Yale University","Everyday Parenting: The ABCs of Child Rearing","Strategy and Operations, Communication, Research and Design, Operations Research, Child, Behavior","Skills you'll gain:","4.9","(2.4k reviews)","Beginner · Course · 1-4 Weeks","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a9/4ebb30762b11e7895e11cc1a03e9e8/Logo_Parenting.png?auto=format%2Ccompress&dpr=1&w=330&h=330&q=25&fit=fill"
"https://www.coursera.org/learn/aprendiendo-programar-python","Free","Pontificia Universidad Católica de Chile","Introducción a la programación en Python I: Aprendiendo a programar con Python","Statistical Programming, Computer Programming, Python Programming, Programming Principles","Skills you'll gain:","4.4","(3.5k reviews)","Beginner · Course · 1-3 Months","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7c/a97a6e3fc74812a808cd95da906b19/Introduccion-a-la-programacion-en-Python-I-Aprendiendo-a-programar-con-Python.jpg?auto=format%2Ccompress&dpr=1&w=330&h=330&q=25&fit=fill"
"https://www.coursera.org/learn/data-analytics-for-lean-six-sigma","Free","University of Amsterdam","Data Analytics for Lean Six Sigma","Plot (Graphics), Experiment, Trigonometric Integral, Business Psychology, Statistical Programming, Operations Management, Entrepreneurship, Data Analysis, Organizational Development, Basic Descriptive Statistics, Supply Chain and Logistics, Probability & Statistics, Strategy and Operations, Analysis, Regression Analysis, Six Sigma, Planning, Data Visualization, Regression, General Statistics, Statistical Analysis, Probability Distribution, Minitab, Leadership and Management, Statistical Visualization, Business Analysis, Statistical Tests","Skills you'll gain:","4.8","(2.8k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/business","Free","University of Pennsylvania","English for Business and Entrepreneurship","Product Development, Writing, Business Psychology, Data Analysis, Communication, Market (Economics), Entrepreneurship, Business Communication, Market Research, Business Plan, Design and Product, Culture, Leadership and Management, English Language, Language, Grammar, Problem Solving","Skills you'll gain:","4.9","(4.2k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/dental-medicine-penn","Free","University of Pennsylvania","Introduction to Dental Medicine","Epidemiology, Medicine, Probability & Statistics, Anatomy, Disease","Skills you'll gain:","4.8","(1.2k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/bioinformatics","Free","University of California San Diego","Biology Meets Programming: Bioinformatics for Beginners","Statistical Programming, Python Programming, Computer Programming, Theoretical Computer Science, Biology, Probability & Statistics, Bioinformatics, Algorithms","Skills you'll gain:","4.2","(1.3k reviews)","Beginner · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/write-your-first-novel","Free","Michigan State University","Write Your First Novel","Communication, Entrepreneurship, Business Psychology, Writing, Leadership and Management, Research and Design, Creativity, Organizational Development","Skills you'll gain:","4.2","(207 reviews)","Beginner · Course · 3-6 Months",""
"https://www.coursera.org/learn/astro","Free","University of Arizona","Astronomy: Exploring Time and Space","Astronomy, Physics","Skills you'll gain:","4.8","(3.3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/international-humanitarian-law","Free","Universiteit Leiden","International Humanitarian Law in Theory and Practice","Humanitarian, Law, International Law","Skills you'll gain:","4.8","(1.3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/quality-healthcare","Free","The George Washington University","Leading Healthcare Quality and Safety","Entrepreneurship, Strategy and Operations, Risk Management, Patient, Research and Design, Problem Solving, Leadership and Management, Finance, Safety, Marketing, Strategy, Leadership, Sales","Skills you'll gain:","4.8","(1k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/industrial-biotech","Free","University of Manchester","Industrial Biotechnology","Biology","Skills you'll gain:","4.7","(2.6k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/food-beverage-management","Free","Università Bocconi","Food & Beverage Management","Market (Economics), Product Marketing, Supply Chain Systems, Entrepreneurship, Strategy and Operations, Brand, Product Lifecycle, Strategy, Marketing, Supply Chain and Logistics, Marketing Strategy, Research and Design, Leadership and Management, Design and Product, Product Strategy, Innovation, Customer Analysis, Sales, Business Analysis","Skills you'll gain:","4.8","(3.9k reviews)","Mixed · Course · 1-3 Months","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f0/9ca7c0d78811e496c6191633d88aa0/macro-food-modif1-cielo_v02.jpg?auto=format%2Ccompress&dpr=1&w=330&h=330&q=25&fit=fill"
"https://www.coursera.org/learn/intro-programming","Free","The University of Edinburgh","Code Yourself! An Introduction to Programming","Computer Programming, Journalism, Entrepreneurship, Theoretical Computer Science, Software Engineering, Research and Design, Leadership and Management, Other Programming Languages, Computer Program, Software, Programming Principles, Language, Algorithms, Problem Solving","Skills you'll gain:","4.7","(2.9k reviews)","Beginner · Course · 1-3 Months","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/94/669a20d8e511e493b80d6bde068b6d/codeyourself.jpg?auto=format%2Ccompress&dpr=1&w=330&h=330&q=25&fit=fill"
"https://www.coursera.org/learn/human-language","Free","Universiteit Leiden","Miracles of Human Language: An Introduction to Linguistics","Computer Programming, Business Psychology, Culture, Leadership and Management, Linguistics, Computer Programming Tools, Other Programming Languages, Language","Skills you'll gain:","4.7","(2.1k reviews)","Beginner · Course · 1-3 Months","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/5e/72af706e7911e4858ab71800f6a19c/Pieter_Bruegel_the_Elder_-_The_Tower_of_Babel__Vienna__-_Google_Art_Project_-_edited.jpg?auto=format%2Ccompress&dpr=1&w=330&h=330&q=25&fit=fill"
"https://www.coursera.org/learn/python-statistics-financial-analysis","Free","The Hong Kong University of Science and Technology","Python and Statistics for Financial Analysis","Financial Data Analysis, Python Programming, Analysis, Computer Programming, Statistical Programming, Data Analysis, Finance, General Statistics, Probability Distribution, Accounting, Financial Analysis, Statistical Tests, Statistical Analysis, Business Analysis, Probability & Statistics","Skills you'll gain:","4.4","(3.3k reviews)","Intermediate · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/global-sustainable-development","Free","University of Copenhagen","The Sustainable Development Goals – A global, transdisciplinary vision for the future","Entrepreneurship, Resilience, Sustainability, Business Psychology, Climate Change","Skills you'll gain:","4.8","(3.8k reviews)","Beginner · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/einstein-relativity","Free","Stanford University","Understanding Einstein: The Special Theory of Relativity","Mathematics, Leadership and Management, Problem Solving, Algebra, Physics","Skills you'll gain:","4.9","(2.7k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/learn-chinese","Free","Peking University","Chinese for Beginners","Listening, Chinese Language, Language","Skills you'll gain:","4.8","(17.4k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/renewable-energy-entrepreneurship","Free","Duke University","Renewable Energy and Green Building Entrepreneurship","Entrepreneurship, Supply Chain and Logistics, Leadership and Management, Planning, Business Development, Sales, Energy","Skills you'll gain:","4.7","(2.4k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/international-organizations-management","Free","University of Geneva","International Organizations Management","Business Psychology, Strategy and Operations, Communication, Leadership and Management, Network Model, Marketing Management, Strategy, Organizational Development, Marketing Strategy, Media Strategy & Planning, Leadership Development, Human Resources, Computer Networking, Leadership, Marketing, International Relations, Brand Management, Collaboration, Brand, Sales, Entrepreneurship","Skills you'll gain:","4.8","(1.5k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success","Free","Imperial College London","Creative Thinking: Techniques and Tools for Success","Product Development, Strategy and Operations, Entrepreneurship, Leadership and Management, Business Analysis, Creativity, Critical Thinking, Research and Design, Design and Product, Brainstorming","Skills you'll gain:","4.7","(3.5k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/big-history","Free","Macquarie University","Big History: Connecting Knowledge","History, Strategy and Operations, Chemistry, Entrepreneurship, Business Psychology, Business Analysis, Astronomy, Human Learning, Research and Design","Skills you'll gain:","4.8","(1.7k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/materials-science","Free","University of California, Davis","Materials Science: 10 Things Every Engineer Should Know","Material Handling, Data Visualization, Supply Chain and Logistics, Materials, .Properties, Statistical Visualization","Skills you'll gain:","4.7","(4.1k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/corp-sustainability","Free","Università Bocconi","Corporate Sustainability. Understanding and Seizing the Strategic Opportunity","Business Psychology, Corporate Bond, Organizational Development, Entrepreneurship, Sustainability, Leadership and Management","Skills you'll gain:","4.6","(653 reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/moral-politics","Free","Yale University","Moral Foundations of Politics","History, Political Science, Philosophy","Skills you'll gain:","4.9","(5.1k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/intro-common-law","Free","University of London","Introduction to English Common Law","Analysis, Law, English Language","Skills you'll gain:","4.8","(1.5k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/data-science-k-means-clustering-python","Free","University of London","Foundations of Data Science: K-Means Clustering in Python","Data Analysis, Statistical Programming, Plot (Graphics), Computer Programming, Theoretical Computer Science, Python Programming, Data Clustering Algorithms, Numpy, Analysis, Probability & Statistics, Algorithms, Data Visualization, Statistical Analysis, Business Analysis, Machine Learning Algorithms, Machine Learning, K-Means Clustering, General Statistics","Skills you'll gain:","4.6","(427 reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/global-energy","Free","Sciences Po","Politics and Economics of International Energy","Economics, Energy, Market (Economics), Finance, Regulations and Compliance","Skills you'll gain:","4.7","(1.6k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/terrorism","Free","Universiteit Leiden","Terrorism and Counterterrorism: Comparing Theory and Practice","Strategy and Operations, Communication, Entrepreneurship, Analysis, Business Psychology, Terrorism, Leadership and Management, Marketing, Strategy, Sales, Resilience","Skills you'll gain:","4.8","(2.9k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/dog-emotion-and-cognition","Free","Duke University","Dog Emotion and Cognition","Animal, Entrepreneurship, Experiment, Communication, Leadership and Management, Evolution, Probability & Statistics, Problem Solving, Behavior, Research and Design","Skills you'll gain:","4.7","(4.2k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/organizational-behavior","Free","Università Bocconi","International Leadership and Organizational Behavior","Mathematics, Social Media, Entrepreneurship, Network Analysis, Business Psychology, Communication, Human Resources, Social Network, Motivation, Leadership Development, Adaptability, Conflict Management, Conflict Resolution, Marketing, Culture, Leadership and Management, Cross-Cultural Communication, Leadership","Skills you'll gain:","4.8","(2.6k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/addiction-treatment","Free","Yale University","Addiction Treatment: Clinical Skills for Healthcare Providers","Communication, Leadership and Management, Patient","Skills you'll gain:","4.9","(1.4k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/leading-for-equity-diversity-inclusion","Free","University of Michigan","Leading for Equity, Diversity and Inclusion in Higher Education","Strategy and Operations, Research and Design, Human Resources, Business Analysis, Strategy, Leadership and Management, Leadership Development, Emotional Intelligence, Leadership, Critical Thinking, Communication","Skills you'll gain:","4.7","(240 reviews)","Intermediate · Course · 1-3 Months",""
"https://www.coursera.org/learn/etudier-en-france","Free","École Polytechnique","Étudier en France: French Intermediate course B1-B2","Communication, Writing, Grammar, Language","Skills you'll gain:","4.8","(4.2k reviews)","Intermediate · Course · 1-3 Months",""
